"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"44","Replacement Fire","13100_49",0.0136412,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2,0.870588235,6117,21.9,83.4432204
"45","Replacement Fire","13110_49",0.0069716,"North-Central Interior Dry Oak Forest and Woodland",5,0.560784314,6,0,0.0418296
"46","Replacement Fire","14120_49",0.2793106,"North-Central Interior Sand and Gravel Tallgrass Prairie",6,0.615686275,3,0,0.8379318
"47","Replacement Fire","14210_49_52",0.2820258,"Central Tallgrass Prairie",1,0.768627451,21278,76.3,6000.9449724
"48","Replacement Fire","14690_38_42_49",0.0019738,"Eastern Great Plains Floodplain Systems",4,0.745098039,27,0.1,0.0532926
"49","Replacement Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",8,0.149019608,0,0,0
"50","Surface Fire","13100_49",0.0442382,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2,0.870588235,6117,21.9,270.6050694
"51","Surface Fire","13110_49",0.0932252,"North-Central Interior Dry Oak Forest and Woodland",5,0.560784314,6,0,0.5593512
"52","Surface Fire","14120_49",0.0114148,"North-Central Interior Sand and Gravel Tallgrass Prairie",6,0.615686275,3,0,0.0342444
"53","Surface Fire","14690_38_42_49",0.0056562,"Eastern Great Plains Floodplain Systems",4,0.745098039,27,0.1,0.1527174
"54","Surface Fire","14710_49_52",0.0148636,"Central Interior and Appalachian Floodplain Systems",7,0.690196078,7,0,0.1040452
"55","Wind or Weather or Stress","13100_49",0.0004686,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2,0.870588235,6117,21.9,2.8664262
"56","Wind or Weather or Stress","13110_49",0.001012,"North-Central Interior Dry Oak Forest and Woodland",5,0.560784314,6,0,0.006072
"57","Wind or Weather or Stress","14120_49",0.0063628,"North-Central Interior Sand and Gravel Tallgrass Prairie",6,0.615686275,3,0,0.0190884
"58","Wind or Weather or Stress","14210_49_52",0.024212,"Central Tallgrass Prairie",1,0.768627451,21278,76.3,515.182936
"59","Wind or Weather or Stress","14690_38_42_49",0.0534964,"Eastern Great Plains Floodplain Systems",4,0.745098039,27,0.1,1.4444028
"60","Wind or Weather or Stress","15180_43_47_49_52_62_63_64_65",0.0030016,"North-Central Interior Wet Flatwoods",8,0.149019608,0,0,0
