"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"70",227,1,"Shrub Cover = 27%",204,146,102,0.8,0.572549,0.4,0,0
"71",229,3,"Shrub Cover = 29%",204,142,100,0.8,0.556863,0.392157,1,0
"72",230,2,"Shrub Cover = 30%",204,142,100,0.8,0.556863,0.392157,0,0
"73",231,5,"Shrub Cover = 31%",201,137,97,0.788235,0.537255,0.380392,1,0
"74",232,5,"Shrub Cover = 32%",201,137,97,0.788235,0.537255,0.380392,1,0
"75",233,9,"Shrub Cover = 33%",201,134,95,0.788235,0.52549,0.372549,2,0
"76",234,12,"Shrub Cover = 34%",201,134,95,0.788235,0.52549,0.372549,3,0
"77",235,12,"Shrub Cover = 35%",201,132,95,0.788235,0.517647,0.372549,3,0
"78",236,7,"Shrub Cover = 36%",199,129,91,0.780392,0.505882,0.356863,2,0
"79",237,1,"Shrub Cover = 37%",199,127,91,0.780392,0.498039,0.356863,0,0
"80",245,2,"Shrub Cover = 45%",196,115,82,0.768627,0.45098,0.321569,0,0
"81",310,1,"Herb Cover = 10%",255,204,102,1,0.8,0.4,0,0
"82",318,1,"Herb Cover = 18%",255,193,94,1,0.756863,0.368627,0,0
"83",319,1,"Herb Cover = 19%",255,193,94,1,0.756863,0.368627,0,0
"84",320,4,"Herb Cover = 20%",255,192,92,1,0.752941,0.360784,1,0
"85",321,3,"Herb Cover = 21%",255,190,92,1,0.745098,0.360784,1,0
"86",323,2,"Herb Cover = 23%",255,189,89,1,0.741176,0.34902,0,0
"87",325,4,"Herb Cover = 25%",255,185,87,1,0.72549,0.341176,1,0
"88",326,1,"Herb Cover = 26%",255,185,87,1,0.72549,0.341176,0,0
"89",327,2,"Herb Cover = 27%",255,181,84,1,0.709804,0.329412,0,0
"90",328,2,"Herb Cover = 28%",255,181,84,1,0.709804,0.329412,0,0
"91",329,5,"Herb Cover = 29%",255,180,82,1,0.705882,0.321569,1,0
"92",330,4,"Herb Cover = 30%",255,177,82,1,0.694118,0.321569,1,0
"93",331,13,"Herb Cover = 31%",255,176,79,1,0.690196,0.309804,3,0
"94",332,27,"Herb Cover = 32%",255,176,79,1,0.690196,0.309804,6,0
"95",333,17,"Herb Cover = 33%",255,173,79,1,0.678431,0.309804,4,0
"96",334,28,"Herb Cover = 34%",255,172,77,1,0.67451,0.301961,6,0
"97",335,209,"Herb Cover = 35%",255,172,77,1,0.67451,0.301961,46,0.2
"98",336,66,"Herb Cover = 36%",255,171,74,1,0.670588,0.290196,15,0.1
"99",337,78,"Herb Cover = 37%",255,167,74,1,0.654902,0.290196,17,0.1
"100",338,118,"Herb Cover = 38%",255,166,71,1,0.65098,0.278431,26,0.1
"101",339,184,"Herb Cover = 39%",255,166,71,1,0.65098,0.278431,41,0.1
"102",340,302,"Herb Cover = 40%",255,162,69,1,0.635294,0.270588,67,0.2
"103",341,318,"Herb Cover = 41%",255,162,69,1,0.635294,0.270588,71,0.3
"104",342,465,"Herb Cover = 42%",255,161,66,1,0.631373,0.258824,103,0.4
"105",343,677,"Herb Cover = 43%",255,158,66,1,0.619608,0.258824,151,0.5
"106",344,886,"Herb Cover = 44%",255,158,66,1,0.619608,0.258824,197,0.7
"107",345,1813,"Herb Cover = 45%",255,156,64,1,0.611765,0.25098,403,1.4
"108",346,1423,"Herb Cover = 46%",255,153,64,1,0.6,0.25098,316,1.1
"109",347,1622,"Herb Cover = 47%",255,152,61,1,0.596078,0.239216,361,1.3
"110",348,1719,"Herb Cover = 48%",255,152,61,1,0.596078,0.239216,382,1.4
"111",349,1933,"Herb Cover = 49%",255,147,59,1,0.576471,0.231373,430,1.5
"112",350,2141,"Herb Cover = 50%",255,147,59,1,0.576471,0.231373,476,1.7
"113",351,1945,"Herb Cover = 51%",255,146,56,1,0.572549,0.219608,433,1.6
"114",352,1873,"Herb Cover = 52%",255,142,56,1,0.556863,0.219608,417,1.5
"115",353,1874,"Herb Cover = 53%",255,141,54,1,0.552941,0.211765,417,1.5
"116",354,1863,"Herb Cover = 54%",255,141,54,1,0.552941,0.211765,414,1.5
"117",355,44301,"Herb Cover = 55%",255,137,54,1,0.537255,0.211765,9852,35.3
"118",356,1685,"Herb Cover = 56%",255,136,51,1,0.533333,0.2,375,1.3
"119",357,1556,"Herb Cover = 57%",255,136,51,1,0.533333,0.2,346,1.2
"120",358,1404,"Herb Cover = 58%",255,135,48,1,0.529412,0.188235,312,1.1
"121",359,1235,"Herb Cover = 59%",255,131,48,1,0.513725,0.188235,275,1
"122",360,1144,"Herb Cover = 60%",255,130,46,1,0.509804,0.180392,254,0.9
"123",361,1084,"Herb Cover = 61%",255,130,46,1,0.509804,0.180392,241,0.9
"124",362,976,"Herb Cover = 62%",255,124,43,1,0.486275,0.168627,217,0.8
"125",363,897,"Herb Cover = 63%",255,124,43,1,0.486275,0.168627,199,0.7
"126",364,811,"Herb Cover = 64%",255,123,41,1,0.482353,0.160784,180,0.6
"127",365,747,"Herb Cover = 65%",255,119,41,1,0.466667,0.160784,166,0.6
"128",366,605,"Herb Cover = 66%",255,119,41,1,0.466667,0.160784,135,0.5
"129",367,548,"Herb Cover = 67%",255,118,38,1,0.462745,0.14902,122,0.4
"130",368,466,"Herb Cover = 68%",255,114,38,1,0.447059,0.14902,104,0.4
"131",369,388,"Herb Cover = 69%",255,112,36,1,0.439216,0.141176,86,0.3
"132",370,323,"Herb Cover = 70%",255,112,36,1,0.439216,0.141176,72,0.3
"133",371,227,"Herb Cover = 71%",255,107,33,1,0.419608,0.129412,50,0.2
"134",372,211,"Herb Cover = 72%",255,107,33,1,0.419608,0.129412,47,0.2
"135",373,143,"Herb Cover = 73%",255,105,31,1,0.411765,0.121569,32,0.1
"136",374,128,"Herb Cover = 74%",255,102,31,1,0.4,0.121569,28,0.1
