"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,2013,"Open Water",0,0,255,0,0,1,448,1.6
"2",13,778,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,173,0.6
"3",14,5,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,1,0
"4",15,21,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,5,0
"5",16,2679,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,596,2.1
"6",17,1081,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,240,0.9
"7",22,1560,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,347,1.2
"8",23,2582,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,574,2.1
"9",24,2843,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,632,2.3
"10",25,11109,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,2471,8.9
"11",32,417,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,93,0.3
"12",63,1,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,0,0
"13",64,2035,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,453,1.6
"14",65,9,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,2,0
"15",68,27,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,6,0
"16",106,1,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,0,0
"17",107,2,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,0,0
"18",108,19,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,4,0
"19",109,6,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,1,0
"20",110,12,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,3,0
"21",111,20,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,4,0
"22",112,64,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,14,0.1
"23",113,202,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,45,0.2
"24",114,400,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,89,0.3
"25",115,866,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,193,0.7
"26",116,1488,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,331,1.2
"27",117,2196,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,488,1.8
"28",118,4040,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,898,3.2
"29",119,2626,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,584,2.1
"30",120,2395,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,533,1.9
"31",121,1674,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,372,1.3
"32",122,843,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,187,0.7
"33",123,382,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,85,0.3
"34",124,55,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,12,0
"35",125,7,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,2,0
"36",208,1,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,0,0
"37",211,4,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,1,0
"38",213,1,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,0,0
"39",215,3,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,1,0
"40",216,1,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,0,0
"41",217,1,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,0,0
"42",218,3,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,1,0
"43",219,1,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,0,0
"44",220,6,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,1,0
"45",221,6,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,1,0
"46",222,5,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,1,0
"47",223,2,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,0,0
"48",224,6,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,1,0
"49",225,2,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,0,0
"50",226,4,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,1,0
"51",227,1,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,0,0
"52",228,1,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,0,0
"53",230,16,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,4,0
"54",301,8,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,2,0
"55",302,503,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,112,0.4
"56",303,44213,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,9833,35.3
